50	15	1	A1	2
50	15	1	P3	1
50	15	2	A1	2
31	15	1	S3	2
31	15	2	A3	2
31	15	2	P3	1
31	15	2	S2	2
31	15	2	D3	3
46	16	1	A1	2
46	16	1	P1	2
46	16	1	S3	2
47	16	1	A2	1
47	16	1	D1	1
47	16	1	P2	3
33	16	1	A3	1
33	16	1	D3	1
33	16	1	S1	2
33	16	1	S2	2
33	16	1	P2	2
26	16	1	A3	3
26	16	1	S2	1
26	16	1	S1	2
26	16	1	P1	1
26	16	1	D2	1
47	17	1	A2	2
47	17	1	S2	1
47	17	1	D3	1
47	17	1	S1	2
47	17	1	P1	1
49	17	1	A1	1
49	17	1	S2	2
49	17	1	D3	1
49	17	1	P2	1
49	17	1	P1	2
49	17	2	A1	1
49	17	2	S1	1
49	17	2	D2	1
49	17	2	P2	2
49	17	2	A2	1
49	17	2	A3	2
39	17	1	A2	2
39	17	1	A1	2
39	17	1	P1	2
39	17	1	S2	1
39	17	1	S1	1
39	17	1	D3	1
48	17	1	A1	2
48	17	1	P2	2
48	17	1	S2	1
48	17	1	S1	1
48	17	1	D3	1
48	17	2	A1	2
48	17	2	A2	2
48	17	2	A3	2
48	17	3	A3	2
48	17	3	A2	2
48	17	3	A1	2
50	18	1	A1	1
50	18	1	A2	1
50	18	1	A3	1
50	18	2	A3	1
50	18	2	A2	1
50	18	2	A1	1
47	19	1	A1	2
47	19	1	P3	1
47	19	1	S1	2
47	19	1	S2	2
47	19	1	D3	2
47	19	2	A2	1
47	19	2	P2	1
47	19	2	S3	1
47	22	1	P1	1
47	22	1	S1	2
47	22	1	S2	1
47	23	1	A2	1
47	23	1	P1	2
47	23	1	P2	2
47	23	1	P3	2
47	23	1	D3	1
46	23	1	A2	1
46	23	1	P2	1
46	23	1	S2	2
46	23	1	D3	1
