13	8	1	A1	2
13	8	1	A2	2
13	8	1	P1	2
13	8	1	P3	2
47	8	1	A1	2
47	8	1	P1	1
47	8	1	P3	1
47	8	1	S1	1
47	8	1	S2	1
47	8	2	D2	2
47	8	2	D3	1
13	8	2	D1	1
13	8	2	D2	1
47	10	1	A1	1
47	10	1	A2	1
47	10	1	P1	1
47	10	1	S2	1
47	10	2	A1	2
10	10	1	A1	1
10	10	1	P1	2
10	10	1	P2	1
13	10	1	A2	1
13	10	1	P1	2
13	10	1	P2	2
50	10	1	A1	1
50	10	1	A2	1
19	10	1	A1	2
19	10	1	P3	2
19	10	1	S2	2
26	10	1	A2	1
26	10	1	P2	2
10	11	1	A2	1
10	11	1	P3	1
10	11	1	S1	2
13	11	1	A1	2
13	11	1	P3	1
19	11	1	A2	1
19	11	1	P1	3
19	11	1	P1	2
19	11	1	S1	2
19	11	1	S2	2
19	11	2	A2	1
19	11	2	P3	1
26	11	1	A2	1
26	11	1	A3	3
3	11	1	A2	1
3	11	1	P3	3
26	11	2	A2	1
26	11	2	P3	2
3	11	2	A3	1
47	11	1	A2	1
47	11	1	P3	1
19	14	1	A1	2
19	14	1	A2	1
19	14	1	P3	3
19	14	1	S2	2
19	14	1	D1	3
19	14	2	A2	1
19	14	2	P2	1
19	14	2	P3	1
19	14	3	A2	1
19	14	3	P3	1
47	14	1	A1	2
47	14	1	P3	1
50	14	1	A1	1
50	14	1	A2	1
50	14	1	P3	2
26	14	1	A3	2
26	14	1	P1	1
50	14	2	A2	1
50	14	2	P3	1
47	15	1	A1	2
47	15	1	P3	2
38	15	1	A3	2
38	15	1	P1	1
