CED697	46	08-12-23	12	emanuele	8	2023-12-08 12:17:14	0
VNP481	50	08-12-23	16	ema	9	2023-12-08 16:32:50	2
ICF140	48	12-12-23	15	emma	7	2023-12-12 15:22:36	0
EBG620	31	12-12-23	15	emanuele	10	2023-12-12 15:11:21	2
ECU974	50	12-12-23	15	respino	6	2023-12-12 15:12:07	2
LTS313	47	12-12-23	16	menco	10	2023-12-12 16:09:55	2
RXY393	46	12-12-23	16	sanna	9	2023-12-12 16:10:29	2
ZIJ681	33	12-12-23	16	dani	6	2023-12-12 16:43:35	2
PLL533	31	12-12-23	16	nicco	12	2023-12-12 16:43:56	2
GYP825	26	12-12-23	16	ema	10	2023-12-12 16:56:36	2
EJX457	47	12-12-23	17	bache	10	2023-12-12 17:01:47	2
OTK008	49	12-12-23	17	ciro	5	2023-12-12 17:06:11	2
XGB351	50	12-12-23	17	ema	10	2023-12-12 17:25:03	2
UDP095	39	12-12-23	17	zio	9	2023-12-12 17:33:22	2
HUJ598	48	12-12-23	17	ciao	5	2023-12-12 17:37:26	2
XXH471	50	12-12-23	18	ema	5	2023-12-12 18:14:47	2
XBW427	47	12-12-23	22	ciao	10	2023-12-12 22:39:43	2
ZOE504	47	12-12-23	19	ema	10	2023-12-12 19:00:50	2
LLK757	47	12-12-23	23	resp	10	2023-12-12 23:00:05	2
XAR272	46	12-12-23	23	ross	8	2023-12-12 23:05:27	1
JSW806	47	13-12-23	8	emma	8	2023-12-13 08:53:32	2
LZE825	13	13-12-23	8	giulia	10	2023-12-13 08:51:29	2
JKW983	47	13-12-23	10	jack	10	2023-12-13 10:01:23	1
RTZ417	10	13-12-23	10	matte	10	2023-12-13 10:02:44	1
WOU546	13	13-12-23	10	ciro	10	2023-12-13 10:14:00	1
LZI026	50	13-12-23	10	marti	10	2023-12-13 10:37:25	1
IFF301	19	13-12-23	10	resp	10	2023-12-13 10:48:35	2
GBE218	26	13-12-23	10	kubo	10	2023-12-13 10:54:54	2
JHO217	10	13-12-23	11	ale	10	2023-12-13 11:20:01	2
PEF416	13	13-12-23	11	cri	10	2023-12-13 11:24:01	2
GJW859	19	13-12-23	11	gianma	10	2023-12-13 11:26:37	1
CPE570	26	13-12-23	11	cecc	10	2023-12-13 11:32:27	2
BZR012	3	13-12-23	11	ema	5	2023-12-13 11:33:08	2
OCA565	47	13-12-23	11	ema	12	2023-12-13 11:55:55	2
YIV491	10	13-12-23	14	ema	10	2023-12-13 14:15:14	1
TXI227	13	13-12-23	14	ema	10	2023-12-13 14:26:00	1
XUD956	19	13-12-23	14	ema	10	2023-12-13 14:28:17	2
JEH990	47	13-12-23	14	zeno	12	2023-12-13 14:46:53	2
DPU062	50	13-12-23	14	cibo	10	2023-12-13 14:58:44	2
NTM463	26	13-12-23	14	ciao	10	2023-12-13 14:59:18	2
KAJ334	38	13-12-23	15	luigi	10	2023-12-13 15:10:11	2
KOX421	47	13-12-23	15	mario	10	2023-12-13 15:09:33	2
